Anmälda brott;Brottsförebyggande rådet
Västerås kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;726;
Växjö kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;711;
Ydre kommun;;
3-7 kap. Brott mot person;..;
Anmälda brott;Brottsförebyggande rådet
;År;
;2021;
;/100&nbsp;000&nbsp;inv;
3 kap. Brott mot liv och hälsa;808;
Ystad kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;820;
Åmål kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;525;
Ånge kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;670;
Åre kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;503;
Årjäng kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;421;
Åsele kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;535;
Åstorp kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;1082;
Åtvidaberg kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;621;
Älmhult kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;714;
Älvdalen kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;781;
Älvkarleby kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;783;
Älvsbyn kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;511;
Ängelholm kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;640;
Anmälda brott;Brottsförebyggande rådet
;År;
;2021;
;/100&nbsp;000&nbsp;inv;
Öckerö kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;495;
Ödeshög kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;602;
Örebro kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;947;
Örkelljunga kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;1090;
Örnsköldsvik kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;675;
Östersund kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;804;
Österåker kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;555;
Östhammar kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;511;
Östra Göinge kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;1076;
Överkalix kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;977;
Övertorneå kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;688;

